Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,F1_Macro,MCC,AUC,Train Time,Inference Time
Random Forest,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.9276923076923077,0.03533816337585449,0.0028820037841796875
SVM (RBF),0.8157894736842105,0.7676923076923077,0.8140977443609022,0.8157894736842105,0.8089892491688615,0.7817883511074651,0.5768043833946623,0.8876923076923077,0.0036039352416992188,0.0003368854522705078
Gradient Boosting,0.8421052631578947,0.8246153846153846,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8246153846153846,0.6492307692307693,0.9276923076923077,0.03191089630126953,0.0007648468017578125
