model,n_folds,accuracy_mean,accuracy_std,accuracy_train_mean,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_train_mean,f1_weighted_mean,f1_weighted_std,f1_weighted_train_mean,f1_macro_mean,f1_macro_std,f1_macro_train_mean,roc_auc_mean,roc_auc_std,roc_auc_train_mean,fit_time_mean,score_time_mean
Random Forest,5,0.9096728307254625,0.03917104907858726,0.9481324503311258,0.8968461538461538,0.044448967554194044,0.9452745098039216,0.9091343112154433,0.03962467530106341,0.9483138259954504,0.897938165623018,0.04403723959838657,0.9422147913360437,0.9376410256410257,0.03330823512713759,0.988672549019608,0.0742753028869629,0.01383070945739746
Random Forest (no weight),5,0.8991465149359886,0.038223046938417465,0.9481324503311258,0.8814615384615385,0.04922446540837497,0.9382745098039216,0.8976957295464262,0.04016485183383119,0.9479090366677474,0.8845087170723515,0.04571095678795552,0.9413081234945435,0.9374871794871794,0.03249564781459519,0.9889117647058825,0.07809901237487793,0.012445735931396484
SVM (RBF),5,0.8564722617354196,0.0263307788612611,0.8750022075055188,0.853153846153846,0.017644603095817737,0.8775490196078432,0.8571505245954357,0.023669316881242162,0.8768027847730927,0.8424817623307762,0.021306788766182846,0.8642085640953402,0.9038205128205128,0.017874277868936788,0.9346105882352941,0.003954124450683594,0.004138803482055664
SVM (Linear),5,0.8564722617354196,0.02661739433451716,0.8789933774834437,0.8574871794871795,0.04455533831377666,0.8853529411764706,0.8576434318426559,0.02659104483057059,0.8809271026518747,0.8428168341837001,0.030274928940135757,0.8691634070305486,0.9037692307692307,0.02655741921667767,0.9260435294117647,0.010162067413330079,0.008578968048095704
Gradient Boosting,5,0.8829302987197725,0.04326195597216583,0.944150110375276,0.8607948717948716,0.04189734174423722,0.9373137254901961,0.8819990516177627,0.042690425404208046,0.9441404361162595,0.8667930174909617,0.047413954929480855,0.9373126376750699,0.9335128205128205,0.03419070929704987,0.9904788235294119,0.09305338859558106,0.007902145385742188
