Metric,Classic ML (Best),GNN (Best),Classic ML (Avg),GNN (Avg)
Accuracy,0.868421052631579,0.7894736842105263,0.8421052631578947,0.6776315789473684
Precision,0.8670715249662618,0.7848662059188376,0.8410915108283529,0.5963543641778384
Recall,0.868421052631579,0.7894736842105263,0.8421052631578947,0.6776315789473684
F1,0.8670794633642932,0.7847503373819162,0.8393913252303498,0.6195143999477031
AUC,0.9400000000000001,0.8523076923076923,0.9276923076923077,0.7238461538461538
Train Time,0.6070411205291748,27.68415379524231,0.6346937815348307,74.33013516664505
Inference Time,0.0007281303405761719,0.007431745529174805,0.0017886956532796223,0.013557910919189453
