Approach,Model,Accuracy,Precision,Recall,F1,AUC,Train Time,Inference Time
Classic ML,Random Forest,0.868421052631579,0.8670715249662618,0.868421052631579,0.8670794633642932,0.9369230769230769,0.6624460220336914,0.0036869049072265625
Classic ML,SVM (RBF),0.8157894736842105,0.8140977443609022,0.8157894736842105,0.8089892491688615,0.9061538461538462,0.6070411205291748,0.0007281303405761719
Classic ML,Gradient Boosting,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9400000000000001,0.634594202041626,0.0009510517120361328
GNN,GCN,0.631578947368421,0.5922871695367451,0.631578947368421,0.5960526315789473,0.6953846153846154,48.070374965667725,0.015440940856933594
GNN,GIN,0.7894736842105263,0.7848662059188376,0.7894736842105263,0.7847503373819162,0.8523076923076923,41.522305965423584,0.01102900505065918
GNN,GraphSAGE,0.631578947368421,0.575438596491228,0.631578947368421,0.5751159507965315,0.6892307692307692,27.68415379524231,0.007431745529174805
GNN,GAT,0.6578947368421053,0.43282548476454297,0.6578947368421053,0.5221386800334169,0.6584615384615384,180.04370594024658,0.020329952239990234
