model,hidden_dim,accuracy,precision,recall,f1,auc,train_time
GCN,32,0.6578947368421053,0.6233552631578947,0.6578947368421053,0.6158818097876269,0.6984615384615385,84.8523440361023
GCN,64,0.6578947368421053,0.6160990712074303,0.6578947368421053,0.5934302356089626,0.6984615384615385,22.87523102760315
GCN,128,0.6842105263157895,0.6623817608537472,0.6842105263157895,0.6537593984962405,0.6953846153846154,137.05087208747864
GIN,32,0.7631578947368421,0.756390977443609,0.7631578947368421,0.7544147489313934,0.8584615384615384,122.16442394256592
GIN,64,0.7368421052631579,0.7271627344222624,0.7368421052631579,0.7226652489810385,0.8646153846153847,21.34037184715271
GIN,128,0.7894736842105263,0.7848662059188376,0.7894736842105263,0.7847503373819162,0.8707692307692307,87.72349905967712
