model,learning_rate,accuracy,precision,recall,f1,auc,train_time
GCN,0.0001,0.6578947368421053,0.43282548476454297,0.6578947368421053,0.5221386800334169,0.5353846153846153,19.933682918548584
GCN,0.001,0.631578947368421,0.5922871695367451,0.631578947368421,0.5960526315789473,0.6953846153846154,64.55122089385986
GCN,0.01,0.6578947368421053,0.6233552631578947,0.6578947368421053,0.6158818097876269,0.683076923076923,42.286699056625366
GIN,0.0001,0.7368421052631579,0.81203007518797,0.7368421052631579,0.6765350877192983,0.8092307692307693,15.491715908050537
GIN,0.001,0.7894736842105263,0.8001525553012967,0.7894736842105263,0.7926065162907269,0.8584615384615385,9.110251903533936
GIN,0.01,0.7894736842105263,0.7878604557370438,0.7894736842105263,0.7781321991848308,0.916923076923077,49.66092586517334
