model,pooling,accuracy,precision,recall,f1,auc,train_time
GCN,mean,0.6578947368421053,0.6233552631578947,0.6578947368421053,0.6158818097876269,0.6830769230769231,40.7486310005188
GCN,max,0.6578947368421053,0.631578947368421,0.6578947368421053,0.6327181590339486,0.6215384615384616,57.037729024887085
GCN,add,0.6578947368421053,0.6160990712074303,0.6578947368421053,0.5934302356089626,0.7661538461538461,35.227566957473755
GIN,mean,0.8157894736842105,0.8132591093117408,0.8157894736842105,0.8139112487100103,0.8799999999999999,37.058146953582764
GIN,max,0.7894736842105263,0.7848662059188376,0.7894736842105263,0.7847503373819162,0.8615384615384616,56.797278881073
GIN,add,0.7894736842105263,0.7848662059188376,0.7894736842105263,0.7847503373819162,0.8646153846153847,22.32831883430481
