model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,auc_mean,auc_std
GCN,0.7658605974395448,0.04398588832180418,0.7105128205128205,0.03925746954641088,0.76938865001365,0.05998939354856486,0.7658605974395448,0.04398588832180418,0.7571202444533066,0.04041895143454633,0.7201635219119351,0.04393061349547952,0.4630574359371254,0.10956912990877442,0.8184102564102564,0.07202125480706524
GIN,0.8506401137980086,0.04223337934367999,0.834871794871795,0.05888852449244063,0.856109233276416,0.042252034685258615,0.8506401137980086,0.04223337934367999,0.8501112151151442,0.04375060199124968,0.8313606961810407,0.05314156571729785,0.6699882799280408,0.10228517573043971,0.9284615384615386,0.037487670556957585
GraphSAGE,0.7715504978662875,0.03810069766750975,0.7121025641025642,0.07180457809845717,0.7842075232942106,0.04464528606009366,0.7715504978662875,0.03810069766750975,0.7541304460901814,0.05832053554928917,0.7132182155475121,0.07693079716162154,0.4770862567952043,0.10595243516477984,0.7995897435897437,0.0648972788700245
GAT,0.6492176386913229,0.04027576936144177,0.4990769230769231,0.002064062748461327,0.46475915548131325,0.046434008931820196,0.6492176386913229,0.04027576936144177,0.5380682470665492,0.015263851766223434,0.41766357895390155,0.03956933825246612,-0.002060104810498419,0.004606534397048788,0.747076923076923,0.06058492010705884
